,comment,rate
108016,"سلام. من این هارد رو تازه خریدم از دیجی کالا ولی سرعت انتقال داده رو در حالت های مختلف امتحان کردم از 87 مگ بالاتر نرفت. کسی میدونه علت از چی هستش؟ 
نکته بعدی اینکه دیچی کالا وقتی این بسته رو ارسال کرد توش از کیسه هوا استفاده نکرده و همون اول که گرفتم بسته رو هارد توش اینور اونور میرفت
روی بسته و کارت گارانتی چیزی درباره اینکه این هارد چقدر گارانتی داره ننوشته و فقط توی فاکتور دیجی کالا هستش که این یکم نگران کننده است که حاالا فردا شرکتش بگه اینا 1 سال گارانتی داره نه 3 سال",0.32
36183,داستان فضای فانتزی بسیار زیبا و جذابی داشت. یک روزه خوندم و واقعا ازش لذت بردم.,1.0
3330,یکی از بهترین کتاب هایی بود که تا به حال خوندم!!,1.0
18681,کیفیت غذا خوب و زمان رسیدن نیز مناسب بود، فقط بطور کل دلستر رو فراموش کردند بفرستند ولى هزینه بابتش کسر شد!,1.0
8897,باتشکر فراوان خیلی خوشمزه بود,-1.0
110966,بسیار نامرغوب و جنس فیکی است و اصلا پول برای ان ندهید,-1.0
8236,جمع بندییکی از معایب گوشی‌های ویندوز فون 8 نوکیا یعنی لومیا 920 و 820،  قیمت بالای آن‌ها بود که امکان خریدشان را از بسیاری از کاربران سلب نموده بود.,0.5
1950,اگر نسخه 3G این تبلت را تهیه کرده باشید، در کنار شیار مموری کارت، شیار میکرو سیم کارت نیز قرار دارد.,0.0
28523,باید برای سفارش هایی که نیاز به یخچال دارد از صندوق یخچالی استفاده کنند من دوبار بستنی گرفتم بستنی آب شده تحویل من دادند متاسفانه,1.0
8791,"ممنون از مترجم محترم.
بعضی از داستاناش خوبه",0.6
55412,خدایش حرف نداره من که ۵هفتس مدام باهاش اصلاح میکنم ضعفی ازش ندیدم ...ممنون دجی,0.6000000000000001
3096,به نظر می‌رسد که F660 واقعا فیلم بردار خوبی باشد.,0.5
127724,نسبت به قیمتش خیلی به صرفه و کیفیت عالی,1.0
37440,کمی بیش از اندازه روغنی بود ولی روی مزه تاثیر بدی نذاشته بود,-1.0
14566,من يک ماهي ميشه خريدمش هارد بسيار خوبيه ارزش خريدن رو داره وزن کم و مخصوصا اينکه موقع بيکار بودن هارد روي استند باي ميره و موقع باز کردن هارد دوباره شروع به کار ميکنه بدون کسري از ثانيه واقعاً خوبه,0.5
5153,به هر صورت ویدیوها عکس های گرفته شده با این دوربین کیفیت بسیار بالایی دارند صدا هم با کیفیتی بسیار خوب، به صورت استریو بهتر از مدل های پیشین ضبط می شود.,1.0
106212,اااااااااااااا,1.0
47811,تا حالا سه بار خرید کردم از این سوپر مارکت خیلی خوبه مرسی,-1.0
26,شوتینگ مودهای کامل یک دوربین DSLR مثل manual، Shutter priority Aperture priority نیز بر روی NEX-VG10 یافت می شوند.,0.0
6349,متاسفانه رنگ ها واقعي نيستند نويز زيادي مشاهده ميشه.,-0.5
40286,واقعا آدم رو جذب میکنه,1.0
6055,متاسفانه بر خلاف مدل پیشین، PadFone دارای کیبورد جداگانه نبوده نمی‌توان از آن به عنوان یک نت بوک استفاده کرد این موضوع ممکن است باعث شود که تعدادی از دارندگان مدل پیشین، تمایل خود را برای ارتقا به PadFone از دست بدهند.,-0.5
1641,تبلت خوبيه ولي سامسونگ از لحاظ نرم افزاري براي اين تبلت نسبت به تبلت 10 اينچي 8000 کم گذاشته ولي از نظر سخت افزاري کيفيت خوبي داره و سرعت پردازش بسيار بالايي داره و حتي اگر تعداد زيادي برنامه سنگين نصب بشه برنامه ها راحت باز ميشه.,0.5
5677,به نظر من  اين فبلت بعد از ال جي نکسوس بهترين گوشي سال ال جي خواهد بود,0.5
145216,خیلی بی کیفیت و بد رنگ بود,-1.0
63120,داستان هاش خوب بد قشنگ زشت تلخ خودمم نفهمیدم,1.0
3764,اين گوشي نسبت به مدل قبل پيشرفت هاي زيادي داشته از جمله دوربين8مگا پيکسلي,0.5
47277,کتاب بسیار جالبیه و حرفایی گفته که تا حالا کسی نگفته یا جرئت نکرده بگه. آفررین,1.0
40043,اسپرسوی خوبی میده .  البته برای درست کردن یه قهوه ی خوب،  پودر قهوه  و مهارت هم مهمه,0.52
15570,پنل Super IPS+ استفاده شده نه تنها روشنایی فوق‌العاده ای دارد و به راحتی می‌توان در تمام شرایط نوری با آن کار کرد،  بلکه زاویه دید آن نیز بی نظیر است و چنین صفحه ای نمایشی را تا به امروز بر روی هیچ تبلتی مشاهده نکرده بودیم.,1.0
2655,با وجود اینکه پیش سفارش داده شده بود و به نظرم قابل مدیریت کردن بود ولی غذا کاملا سرد (یخ) تحویل داده شد. کباب‌ها و دورچین آنها بسیار تند بودند و بدلیل نامناسب بودن ظرف، کباب‌ها و دورچین‌ آنها کاملا با هم قاطی شده بودند. حلیم بادنجان، چلو کره و ته‌دیگ ارسالی خوشمزه بودند.,1.0
84014,سگم بد غذاست ولی جالبه اینو دوست داشت  ممنون,0.6000000000000001
371,زاویه دید افقی رضایت بخش بوده ولی زاویه دید عمودی بسیار محدود است به طوری که اگر کمی از بالا یا پایین به صفحه نمایش لپ‌تاپ نگاه کنید، تغییر قابل توجهی در کیفیت رنگ‌های تولید شده، مشاهده خواهید کرد.,0.0
394,همان‌طور که گفتیم گوشی Xperia Mini از سیستم عامل Android 2.3 معروف به Gingerbread بهره می‌برد.,0.0
31307,در نهایت اعصابی بهم ریخته و روانی پریشان از جنایات انسان نماهایی در قالب گروهی به اسم داعش...,1.0
57565,سلام ، دوستان از روزی که گوشی رو خریدم این کاور روش بود حتی یه بار هم در نیاوردم بعد از 6 ماه کاور رو برداشتم زیر کاور اون قسمت هایی که از کاور بیرون بوده سالمه ولی اونایی که زیر کاور بوده خراب شده و خش های بد جور برداشته که هر جور با خمیر دندان و .. امتحان کردم نرفت ، اینقدر اوضاعش بد شده که نمی شه به پشت گوشی نگاه کرد ، خلاصه دوستانی که جت بلک دارن نخرن ...,-1.0
107534,کیفیت مناسب است ولی کالا مانند عکس طلایی نیست,-1.0
60641,شیرینی تازه و خوشمزه تعداد هم خوب بود,-1.0
19022,پیتزا خوب مثل همیشه ولی سرد شده بود موقع تحویل,-1.0
9541,قرار نیست چون تو جامعه بی حجابی هست تلوزیون هم به این سمت بره تلوزیون جمهوری اسلامی باید آنچه را خدا گفته انجام دهد. خدا رو شکر در دنیای شهوت ران امروز یه تلوزیون نسبتا سالمه که اونم انگار بعضیا ناراحتن .الان هر سایتی که میری یا شبکه های خارجی یا فیلم یا کالایی که میبینی یه عکس تحریک کننده خانم توش هست این جاهلیت مدرنه.,-0.6
153876,من تقریبا یک سال هست که از این دستگاه استفاده میکنم و خیلی راضیم. نسبت به نمونه های مشابه و چینی که همکارانم داشتن، کامل تر و بی نقص هست. خیلی خوب شد ک دیجی کالا موجودش کرد. به همکاران پیشنهاد میکنم.,1.0
5400,مزیت این نوع پردازنده‌ها بیشتر در مصرف انرژی بسیار پایین‌تر ارائه‌ی قابلیت‌های عالی در مالتی تسکینگ یا انجام چند وظیفه به صورت همزمان است.,1.0
5728,حساسیت لمسی خود نمایشگر هم کاملا عالیست.,1.0
33068,عدم تسلط به داستان نویسی کلاسیک و مد شدن گنگ نویسی در پشت پرده های ضخیمی مثل پست مدرنیسم باعث شده که اکثر داستان نویس های ایرانی بدون این که زحمت به چالش کشیدن و بهبود مهارت هاشون رو بدن مدام گنگ تر و گنگ تر و گنگ تر بنویسند و وضعیت هم آخر همین پشت کردن به ادبیات معاصر و رسیدن شمارگان کتاب ها به زیر ۲۰۰ یا حتی پایین تر بشه. البته برخی داستان نویسای ایرانی با کمک به توان داخلی همین شمارگان پایین رو هم جزو افتخارات و خاص بودن خودشون میذارن که قابل احترامه.,-0.2
8660,تخفیف 30% SB98D9XHU58QSC,0.6
10195,تاحالا خیلی از لادن آبمیوه گرفتم. شیک خیلی خوبه ویتامینش بسیار خوبه آب انار و لواشکش هم خوبه اکثر آبمیوه‌هاش به جز موارد بالا خوب نیست. یعنی هر اکثرا انداختم دور,-1.0
48016,کیفیت غذا عالی بود …زودتر از زمانی که توی اپلیکیشن زده بود به دستم رسید …,-1.0
3435,همچنين مي تواند از لنزهاي مختلفي از سري A‪-‬mount که براي دوربين هاي DSLR سوني ارايه شده اند،  با يک اداپتور هماهنگ کننده استفاده کند.,0.0
5956,به نسبت وزن، گران قیمت است.,-1.0
46863,"بنده این گوشی رو خریدم
کیفیت صفحه نمایش و تاچ واقعا خوبه  
اثر انگشت و تشخیص چهره و شارژ سریع واقعا کاربردی و خوب
دوربین متوسط 
کیفیت اسپیکر پایینه",0.1999999999999999
504,به همین دلیل تجربه اینترنتی این تبلت با یک کامپیوتر رو-میزی برابر است.,0.0
12879,غذا بسیار با کیفیت بود اما متاسفانه دوتا سفارش کباب لقمه و کباب بختیاری رو داخل یک پک غذا قرار داده بودن و این صرفه جویی جالب نبود. اما مخلفات و طعم غذا عالی بود,-1.0
21853,من این کتابو خریدم، کتاب خوبیه ولی با اونیکی کتاب وارن بافت متن هردوتا یکی بود، جلدشون متفاوته هردو از بنیاد زندگیه کتاب ۱۲۵ اصل وارن بافت و کتاب رازهای مدیریت وارن بافت متنشون یکیه نخرید😕,-0.6
62640,به قیمتش می ارزه,-1.0
167163,عالیه نسبت به قیمتش,0.8400000000000001
880,چیز زیادی درباره‌ی طراحی این دوربین وجود ندارد.,0.0
23541,من نمیدونم ترجمه بد بوده یا فاکنر کلا اینطور مینویسه که فکر کنم اولی محتمل تر باشه,-0.2
38379,پیتزا خوب بود ولی زمان رسیدن آن طولانی بود,-1.0
23967,روغنش مونده بود و مرغها بوی چربی میداد,1.0
10640,کيفيت فيلمبرداري نيز بسيار خوب است در صورتيکه زوم کامل و درستي انجام شده باشد کاملا زنده و شفاف ميباشد.,1.0
4625,روزه خريدمش، حرف نداره، خيلي خوش‌دسته، سرعتش خيلي خوبه کيفيت صداش واقعاً فوق‌العادست تنها نکته منفيش شايد کيفيت عکس برداريش باشه که البته قابل‌قبوله، کيفيت فيلم‌برداريش خيلي بهتره,1.0
24111,من بعد دوروز استفاده تاثیرشو دیدم خیلی کرم عالی هست پوستو روشن و شفاف میکنه روی پوست من که خیلی تاثیر گذاشت فکر نمیکردم انقدر خوب باشه,-1.0
58305,من این هارد رو فقط به خاطر 25 هزار تومان اختلاف قیمت نسبت به قیمت در بازار که میگشتم خریدم و ازش رازی هستم,0.52
4612,واقعاً هارد خوبيه سرعتش مناسبه وزن ضخامتش کمه تا الان که مشکلي نداشته پس از تمام تستها اطلاعات بيشتري در اختيارتون ميذارم.,1.0
10065,سیب زمینی‌ها سرد به دستم رسید,1.0
44845,کباب دیگی به معنی واقعی کلمه عالی بود. ترکیب سس سماق خوش طعم با برنج زعفرونی و ریحون تازه و دوغ سنتی محشر بود. مرسی برای احترامی که برای مشتریتون قایل هستین. ماست و خیار میتونست خوش طعم‌تر باشه و غذا گرم‌تر,-1.0
45891,"سلام
این گوشی به نسبت قیمت عالیه
دارای رابط کاربری خوبیه یکی از مزیت هاش اینکه به صورت octa core",0.3600000000000001
1459,دوربیندر مورد دوربین این گوشی چیز زیادی نمی‌توان گفت، چرا که با وجود یک دوربین مگاپیکسلی نمی‌توان انتظار ثبت عکس‌های فوق‌العاده ای را داشت.,0.0
1606,از ایزو 1600 نیز جزئیات شروع به ناپدید شدن می‌کنند که این به دلیل کار کردن سیستم کاهش نویز است.,0.0
45969,جزو کتابای خوب و هیجان انگیزی بود ک خوندم ❤️,1.0
11458,حتی ابعاد و وزن این دو دوربین هم تقریبا یکسان می باشد.,0.0
77311,خوش مزه بود ولی برای سه نفر بود اگه بیشترین دو تا بخرید,-1.0
6191,فقط همين!,0.0
5864,این باعث شده که احساس خیلی بهتری در هنگام کار کردن با نمایشگر داشته باشید.,1.0
128751,"الان من حدود۵روزه که این لب تاپ روواسه دخترم که درشرف دانشگاه رفتنه خریدلری کردم وهمون ابتدا به ساکن روی صفحه بوت منووبایوس نمیادوبرخلاف چیزی که گفته میشه اگه جنسی خراب بودیاکیفیت نداشت میشه تاهفت روزمرجوع کرد،الان ازاون روزتاحالاماداریم هرروز پیگیری میکنیم وبه نظرمن روال مشخصی واسه چنین موقعهایی پیش بینی نشده.
بنده به اعتبارخریدهای قبلی ازدیجی کالا لب تاپ خریدم واگه واقعامیدونستم اینطوریه هیچ وقت خریداری نمیکردم.",-1.0
4728,فوق العاده کم مصرف اسکن با حداکثر کيفيت فوق العاده کم جا شکيل بسيار با دوام الان روي ميز کارمه من روزانه باهاش بيشتر از 40 برگ اسکن ميگيرم,1.0
9674,از اين بابت جلوي سامسونگ کم مياره و اين خيلي بده.,-0.5
68747,عالیه این کتاب به جای اینکه برای بچه هاتون کتابهای پرنسس های دیزنی رو بخونید که فکر کنن یکی باید بیاد که نجاتشون بده این کتاب رو بخونید تا بدونن خودشون کلید موفقیت خودشونن گرچه که من خودم برای خودم میخونم و انگیزه میگیرم,1.0
2960,در کل، طراحی این گوشی زیبا راضی کننده به نظر می‌رسد.,0.5
60020,من ۲ تا جعبه نیم کیلویی برای ۲ تا جای مختلف سفارش داده بودم، کلن همه رو ریختن تو یه جعبه برام فرستادن، خیلی عصبانی ام ازشون. به پیک می‌گم چرا اینطوریه؟ میگه جعبه نداشتن!!!!!!!!! خوب اگه جعبه ندارید بگید سفارش رو قبول نمی‌کنید …. خیلی کارشون زشته و شدیدن عصبانی ام.,1.0
1265,این گوشی،  با وجود یک صفحه‌ی نمایش بسیار خوب،  سخت افزار قدرتمند،  سیستم عامل به روز و دوربین با کیفیت،  به خودی خود یک گوشی قابل اطمینان محسوب می‌گردد.,1.0
39886,غذا به موقع رسید و گرم بود. پیک هم بسیار محبت کردن و غذا رو تا جلوی واحد آوردن. فقط با توجه به اینکه فیله کبابی سفارش دادم یه کم چرب بود.,-1.0
60563,بسیار بد مزه و مرغ‌های نپخته,1.0
11217,واقعا متاسفم برای مدیریت نشاط، روز به روز کیفیت بدتر میشه و قیمت بیشتر و حتی به نکاتی که حین سفارش گفته میشه توجه ندارن بماند که چقدر کیفیت گوشت پایین بود و بوی دمبه میداد دیگه هرگز از اینجا خرید نمیکنم,1.0
64779,خیلی خوب بخصوص سایزش برای یک نفر راحت می شود استیک پخت . من سیب زمینی آب پز می کنم حداقل 20 دقیقه طول می کشد تازه مزه اش!!!!ولی با این تابه حداکثر 10 دقیقه مزه اش هم خیلی...,0.6200000000000001
66701,برنج عالی، کیفیت کوبیده پایین,-1.0
97631,خیلی خوشحالم که بازی های نوستالژیکی مثل آپادانا، راز جنگل، علا الدین و مهمان ها دوباره و دقیقا مثل نمونه قدیمی تولید میشه من هر سه تا ی این بازیها رو تو بچگی بازی کردم خیلی زیبا و سرگرم کننده هستن و برای حافظه مفیدند به نظرم هیچ وقت هم قدیمی نمیشه برای من حس خیلی خوبی داره که دوباره این ها رو تهیه کنم و بازی کنم به یاد دوره کودکی. یه بازی هم بود اسم دقیقش یادم نیست ولی سندباد و علی بابا شخصیت های این بازی فکری بودن اگه هنوزم باشه و دیجی بیاره عالی میشه,0.6000000000000001
4844,به نظر من کتاب بدی نیست و ارزش یکبار خوندن داره، شاید توی ثروت کمک نکنه، اما می تونه در موارد دیگه زندگی به درد ادم بخوره ✋,0.2
6884,واقعا سنگينه.,-1.0
3202,به همین دلیل نگه داشتن آن حتی با یک دست بسیار راحت و لذت بخش است.,1.0
70976,"اگر دنبال بلند کردن مژه هستین بهترین انتخابه، اما اگر حجم دهندگی هم بخواین مورد مناسبی نیست
برای بلندکردن و حجم دهندگی همزمان مدل volume now از همین برند عالیه",0.9000000000000001
65871,میتونست بهتر هم بشه متنش ولی موضوع جذاب برای همین پنج ستاره میدم,1.0
8260,اين دستگاه در مقابل قيمتش بي نظيره و شارژدهي فوق العاده اي داره و بسياري از بازي هاي روز را با همين گرافيک اينتل مي توان انجام داد.,0.5
12656,تصویر با واقعیت زمین تا آسمانه!,1.0
15342,پیک سفارش رو اورد جلو آپارتمان و حاضر نشد بیاره بالا. اگر می‌خواستم برم پایین خودم از سر کوچه می‌گرفتم یک ساعت هم منتظر نمی‌شدم این آخرین سفارش من از بارون بود,1.0
55279,مرغ سوخاری عالی اندر عالی,-1.0
3836,يه ساله خريدم خيلي ضعيف است بازي هم که چي بگم هيچ کدوم رو باز نميکنه ,-1.0
105136,اسپیگن یکی از شاخ های بازاره من خریدم برای همسرم منتظرم برسه?,1.0
32480,چقدر تابلوعه,0.1999999999999999
21626,خوشمزه و داغ و سریع … پیگیری‌های خوب و مشتری مداری این رستوران ستودنی هست، موفق باشید.,-1.0
553,سلام دوستان.,0.0
41182,"ظاهراً انتشارات شکیب قیمت نسخه چاپی رو برای نسخه epub در نظر گرفته که جای تعجب داره...
این کتاب و سایر کتابهای این انتشارات با این قیمت مشتری ای نخواهد داشت بدون شک",-0.6
58702,"آداب ماه مبارک رمضان
برای عامی و عارف
⁦^_^⁩⁦",1.0
4065,فيلم و ضبط صداشم فوق‌العاده است.,1.0
53792,شیرینی خوب بود برخورد پیک ام عالی بود ارسال شم خیلی سریع بود,-1.0
19572,عالی,1.0
4762,که من حدود 50 تا نصب کردم .,0.0
42857,خیلی عالی... با احساس و آموزنده است.,1.0
53619,سپاس از زحمات، این بار یکی از بهترین پیتزاهای ممکن در ایران بود.,-1.0
5120,بنابراین اگر به دنبال یک نوت‌بوک مالتی مدیا 14 اینچی خیلی خوب هستید، N43SM گزینه‌ی خیلی خوبی است.,1.0
98127,بسیار خوب منکه راضیم ازش,0.6000000000000001
40441,خیلی خیلی عالیه .جناب سلطان زاده سنگ تموم گذاشته صدای همرو بسیار عالی مَچ کرده واقعا به دل میشینه زنده باد .کاره طاقچه هم درسته خسته نباشید,1.0
131277,کیفیت ساخت بالا که فک نکنم زود خراب بشه  ارگونومی گوشی باعث درد گوش میشه کیفیت صدا به نسبت هزینه خیلی خوبه و تفکیک صدا بخوبی صورت میگیره البته من احساس میکنم بیس هدفون ضعیفه هدفون همراه با کیف کوچکی ارائه میشه که کار راه انداز هستش و در کل بنظرم برند انکر برند قابل احترامی اومد,0.52
59377,عالى و به موقع,-1.0
18730,جوجه کباب بسیار خشک بود و کوبیده به حدی بد مزه بود که قابل خوردن نبود. غذا هم سرد شده بود.,1.0
101999,کیفیتش عالیه و فوق العادس و رضایت کامل دارم,-1.0
4180,تصاویر گرفته شده با دوربین این گوشی از کیفیت بسیار بالایی برخوردارند، جزئیات بسیار دقیق بوده، نویز تصاویر کم بوده رنگ‌های تولید شده بسیار طبیعی هستند.,1.0
3300,اگه دنبال تبلت جمع و جور و با کيفيت قطعات بالا ميگردين بهتون اين تبلتو پيشنهاد ميکنم من يه 5 ماهي ميشه که خريدمش.,0.5
32946,به جای سیب زمینی ویژه، ساده فرستاده بودن,1.0
6653,در کل، در مورد دوربین این گوشی نمی‌توان چندان تعریفی نمود.,-0.5
3725,مخصوصا که این تبلت ویندوزی که همانند یک لپ تاپ کارایی‌های متنوعی دارد،  اولین محصول در این نوع است.,0.5
22242,برای هدیه مناسبه,0.4000000000000001
51785,۵ هزار تومن هزینه بسته بندی گرفته شده؟؟!!!! چرا واقعا؟؟؟ قطر پیتزا هم کمتر از ۳۰ سانت بود,1.0
8063,این نوت‌بوک یکی از آن‌هایی است که عملکردی کاملا کم سر و صدا دارد.,0.5
6150,لنزش هم زود لک وخش مي افته,-0.5
23830,بیکیفیت و خشک مونده بود,1.0
23918,بسیار عالی و جامع,1.0
53673,"راستش دروغ چرا اول فکر کردم یه کتاب معمولی باشه.بعد که اسم استاد پناهیان رو دیدم.گفتم نه نباید معمولی باشه و خوندمش.
راستیتش شگفت زده شدم.
اصلا میشه باهاش درس زندگی بگیری .
نه فقط نماز خوب.
واقعا به همه پیشنهاد میشه هم به نماز خونا هم به نماز نخونا.
نگرش آدمو عوض میکنه",1.0
51205,کیفیت پایین. ساندویچ خالی. قیمت بسیار بالا نسبت به مواد خالی داخل,1.0
12108,رزولوشن این نمایشگر 800X480 پیکسل می‌باشد.,0.0
45972,از مرغ جوان، تازه و بسیار لطیف استفاده میشه. سس انار کاله هم که همراه فرستاده می‌شه خیلی طعم و مقدار مناسبی داره.,-1.0
2822,ولي پس از تجربه استفاده کاملا از حالت اتوماتش راضيم.,0.5
26888,از بیست نمره کامل رو میدم,-1.0
3646,همه چیز بسیار روان بوده و کوچک‌ترین کاهش سرعتی در حین کار کردن با گوشی احساس نخواهید کرد.,0.5
2952,طبق اعلام کمپانی ال‌جی،  به زودی نسخه 4 اندروید نیز برای این گوشی ارائه خواهد شد.,0.0
31406,اگر یکم بیشتر میپخت بهتر بود.,-1.0
114083,بچه گربه های من وقتی بدنیا اومدن اوایل ک شیر میخوردن بعد ک تونسن غذا بخورن غذا از برند دیگ ای گرفته بودم.دیدم نمیخورن فکر کردم هنوز به سنی نرسیدن ک غذا بخورن بعد ک از دامپزشک پرسیدم گفتن ک نه برند غذارو تغییر بدین من هم این رو امتحان کردم و اوکی بود.,0.1999999999999999
6514,45 درجه دما براي يک گوشي موبايل خيلي زياده، همونطور هم که قبلا گفتم يک عامل مهم داغون شدن وسايل الکترونيکي گرماست!,-0.5
25835,من خریدم راضیم,0.1999999999999999
69079,کیفیت نان کارامل پایین اومده، خیلی خشکه و اون سس کاراملی که قبلا داشت یا کم شده یا اصلا استفاده نمیشه چون همون باعث تردی و خوشمزگی میشد، و به جاش شکلات زیاد شده که من نمی‌پ-ن-م. ما در کل از نان و شیرینی جم راضی هستیم و همیشه خریدامونو از اینجا انجام میدیم.,-1.0
19275,من نسخه چاپی این کتاب رو دارم.بخونی خیلی قشنگه البته برای سنین۵تا۱۰ سال. منم خیلی وقت پیش خریدمش.,1.0
6283,امیدواریم که در آینده Siri بتواند به صورت Offline هم کار کند، چرا که در حال حاضر برای استفاده از Siri باید از طریق 3G یا Wi-Fi به شبکه متصل باشید.,-0.5
8911,کتابو نخوندم ولی دکتر آز به نظرم یه آدم شیاده و فقط به خاطر شومن شیپ معروف شده، به همین دلیل از هر عنوانی که دکتر آز توش دخیل بوده استفاده نمیکنم,0.2
18713,برای بار دوم رستوران غذا رو به آدرس نادرستی فرستاد.,1.0
10985,جمع بندی به هر حال،  به نظر می‌رسد تجربه تولید اولین گوشی دو سیم کارته HTC برای این کمپانی نتایج قابل قبولی را در بر داشته است و این کمپانی می‌خواهد به راهی که شروع کرده،  ادامه دهد.,0.0
6578,هر چند خيلي جالبه ولي با پولش ميشه يه موبايل يه تبلت بخري!,-0.5
6727,عالی بود، من خیلی خیلی دوست داشتم,-1.0
358,هر گاه که نمایشگر را باز می‌کنید دوربین روشن وقتی آن را می‌بندید خاموش می‌گردد.,0.0
34867,اصلابه پای کوری نمیرسه بنظرمن که پول الکی ندید نخرید من اصلاخوشم نیومدهیچ جذابیت وکششی نداره ولی کوری فوق العاده است بی نهایت زیباست,-1.0
21100,کتاب شیرینیه ممنون,1.0
57078,خوشم نیومد😶😶,-0.2
1334,شرکت از این سیستم اصطلاحا با نام 3MOS یاد می‌کند.,0.0
37833,قفل امروز بدستم رسید، اما کلید مدل عکس دایره ای نیست و طرح صاف هست، البته بنظرم امنیتش بد نباشه,0.6000000000000001
5730,برای مثال مدل 15.6 اینچی که از پردازنده Core i3 کارت گرافیک مجزای GeForce GT 520MX استفاده می‌کند، در تست مرورگری اینترنت از طریق Wi-Fi روشنایی صفحه متوسط، توانست بیش از ساعت شارژ دهی کند که میزان بسیار خوبیست.,1.0
52213,برخورد پیک اسنپ فوق‌العاده عالی، سوپ خوب و خوش طعم ولی خداییش کله ماهی خیلی قشنگ نیست با اون چشمها آدم رو نگاه کنه. طعم غذا خوب بود با مارگارین روی برنج!,-1.0
3319,به طوری که لزومی ندارد دقیقا دستورات را به یاد بیاورید عین آن را بگویید.,0.5
2811,در ضمن سفيدش هم قشنگ‌تره.,0.5
823,باتری انرژی مورد نیاز برای این دستگاه توسط یک باتری لیتیوم یونی تامین می‌شود که دارای ظرفیت 1650 میلی آمپر است.,0.0
9338,همچنین این صفحه نمایش از زاویه دید بسیار بالایی برخوردار است.,1.0
11565,تبریک میگم به نویسنده بخاطر تخیل خوبش,1.0
1563,چون سيستم gps حتي در زمان خاموش بودن دوربين نيز کار ميکنن.,0.0
199,مشخصه‌های اصلی دوربین فیلم‌برداری JVC مدل GZ-HD3: کیفیت عالی فیلم در نور مناسب• هارد 60 گیگابایتی• SHARE STATION مناسب برای ایجاد دیسک‌های HD طراحی زیبا ارگونومی خوب• سه عدد CCD کارآمد 1.5 اینچی• قابلیت فیلم‌برداری با رزولوشن 1080×1440پیکسل• زوم 10 اپتیکال برابر• زوم دیجیتال 200 برابر• فوکوس سریع دقیق• امکان کار در حالت دستی فوکوس کمکی• ابعاد: 6.125×3×3.25 اینچ• وزن: با احتساب باتری تقریبا 1.5 پوند,0.0
91638,این گوشی برای استفتاده در روز عالیه ومن مشکلی در باتریه اون نمیبینم نسبت به قیمت خیلی کیفیت بالا تری داره در خریدش شک نکنید,0.52
1547,فقط دوتا مورد داره که اونم در کنار اين همه نکته مثبت مهم نيست اما ميگم که کسايي که مي خوان بخرن بدونن 1.,0.0
28016,داستان بسیار تاثیر گذار و خلاقانه ای بود.,1.0
42971,مثل همیشه عالی و سریع. بورانی خوش طعم و تازه. غذای رایگان هم که دیگه سورپرایز بود.,-1.0
2577,تاچ پد نیز چندان بزرگ نیست،  ولی حساس ساخته شده است.,0.5
17328,این گمان دوباره تازه شد که بهای اعتماد کردن همیشه سنگین هست متاسفانه باید بگم اینکه این رستوران از غذا سرخ شده مونده استفاده کرده خیلی بده این قدر سینه مرغ سوخاریش مونده بود که به زور از هم جدا شد نمیدونم اگه خود مشتری هم مستقیم سفارش بده بازم اوضاع همینه یا نه,1.0
4094,والا ما هم  زوم کرديم ولي کيفيت عکس خراب نشده.,0.0
62073,تصور من از دانلود این کتاب صوتی بر این بود که مطالب خوبی دستگیرم میشه ولی فقط حدود ۲۵ دقیقه پرزنتیشن اولیه بود. دقیقا اطلاف وقت و پول بود.,-0.6
7286,هرجور بازي و برنامه اي که دلتون بخواد اجراميکنه سرعت گوشي انقدر زياده که تصورشم براي آدم مشکله.,1.0
30738,ممنون از رستوران غنچه عالی بود,-1.0
78150,"یه دو بار استفاده کردم کنار گذاشتم 
خیلی کاربردی نیست 
چند روز شاید سرگرمتون کنه !",0.1999999999999999
42465,😕😕😕,-0.6
131729,هنگام شارژ گوشی ( s8پلاس ) مداوم قطع میشود در حالی که چراغ شارژ گوشی روشن است و متن در حال شارژ سریع نوشته شده است ولی زمان باقیمانده برای شارژ کامل حذف میشود؛ باید گوشی را بردارید و دوباره روی شارژر قرار دهید تا شارژ مجدد شروع شود ضمنا اگر در زمان شارژ با گوشی کار کنید شارژ قطع میشود,0.1999999999999999
873,به همراه Hero3 یک ریموت کنترل هم آمده که با Wi-Fi کار می کند.,0.0
13004,چونکه کلي کتاب رو ميشه توش جا داد.,0.0
23274,کتاب خیلی خوبی بود. واقعا خیلی از اینها رو من نمیدونستم.,1.0
10396,"دوستان گرامی اگه نژاد برامون مهم باشه،،این نوع تفکر ،،تفکر آپارتاید (برتری نژاد )است .
ک تو آمریکا رواج داره .
در صورتی ک خداوند در قران فرمودن:هیچ کس بر دیگری برتری ندارد مگر کسی ک با تقواتر است .",-0.6
62721,یکم عجله داشت موقع نوشتن ولی داستان قشنگی بود. کاش هممون میتونستیم از زندگی‌ی که میگذرونیم لذت ببریم.,0.6
